,Unnamed: 0,age,monthly_income,sex,education,product,quality,purchased
0,0,22,51,1,0,2,1,1
1,1,21,55,0,0,2,1,1
2,2,30,49,0,0,2,1,1
3,3,25,42,0,0,2,1,1
4,4,28,56,0,0,2,1,1
5,5,30,44,0,0,2,1,1
6,6,23,43,0,0,2,1,1
7,7,26,55,0,0,2,1,1
8,8,27,59,0,0,2,1,1
9,9,24,57,0,0,2,1,1
10,10,22,49,0,0,2,1,1
11,11,22,55,0,0,2,1,1
12,12,22,51,0,0,2,1,1
13,13,30,47,0,0,2,1,1
14,14,22,49,0,0,2,1,1
15,15,29,52,0,0,2,1,1
16,16,27,58,0,0,2,1,1
17,17,25,44,0,0,2,1,1
18,18,21,53,0,0,2,1,1
19,19,28,52,1,0,2,1,1
20,20,30,50,0,0,2,1,1
21,21,29,52,0,0,2,1,1
22,22,25,56,0,0,2,1,1
23,23,30,43,0,0,2,1,1
24,24,18,51,0,0,2,1,1
25,25,22,60,1,0,2,1,1
26,26,27,54,0,0,2,1,1
27,27,25,45,1,0,2,1,1
28,28,24,59,0,0,2,1,1
29,29,25,55,0,0,2,1,1
30,30,20,50,0,0,2,1,1
31,31,18,48,1,0,2,1,1
32,32,28,57,0,0,2,1,1
33,33,23,46,0,0,2,1,1
34,34,27,47,0,0,2,1,1
35,35,22,46,0,0,2,1,1
36,36,26,56,0,0,2,1,1
37,37,25,45,0,0,2,1,1
38,38,25,50,0,0,2,1,1
39,39,24,49,0,0,2,1,1
40,40,27,49,0,0,2,1,1
41,41,23,53,0,0,2,1,1
42,42,27,47,0,0,2,1,1
43,43,24,43,0,0,2,1,1
44,44,29,59,1,0,2,1,1
45,45,26,59,0,0,2,1,1
46,46,19,58,1,0,2,1,1
47,47,25,58,0,0,2,1,1
48,48,22,48,0,0,2,1,1
49,49,30,53,0,0,2,1,1
50,50,27,52,0,0,2,1,1
51,51,26,48,0,0,2,1,1
52,52,28,60,0,0,2,1,1
53,53,19,40,0,0,2,1,1
54,54,21,48,0,0,2,1,1
55,55,23,44,0,0,2,1,1
56,56,30,40,0,0,2,1,1
57,57,27,53,0,0,2,1,1
58,58,18,55,0,0,2,1,1
59,59,28,56,0,0,2,1,1
60,60,30,54,0,0,2,1,1
61,61,30,43,0,0,2,1,1
62,62,24,57,0,0,2,1,1
63,63,19,59,0,0,2,1,1
64,64,25,50,0,0,2,1,1
65,65,22,45,0,0,2,1,1
66,66,23,46,1,0,2,1,1
67,67,18,47,0,0,2,1,1
68,68,22,46,1,0,2,1,1
69,69,30,51,0,0,2,1,1
70,70,26,56,0,0,2,1,1
