,Unnamed: 0,age,monthly_income,sex,education,product,quality,purchased
0,0,27,64,0,0,4,1,1
1,1,30,76,0,0,4,1,1
2,2,29,60,0,0,4,1,1
3,3,22,77,0,0,4,1,1
4,4,23,69,0,0,4,1,1
5,5,18,75,0,0,4,1,1
6,6,30,65,0,0,4,1,1
7,7,18,69,0,0,4,1,1
8,8,18,61,0,0,4,1,1
9,9,29,61,1,0,4,1,1
10,10,25,64,0,0,4,1,1
11,11,30,69,0,0,4,1,1
12,12,19,62,0,0,4,1,1
13,13,19,69,0,0,4,1,1
14,14,27,72,1,0,4,1,1
15,15,28,68,0,0,4,1,1
16,16,21,67,0,0,4,1,1
17,17,22,73,0,0,4,1,1
18,18,27,75,0,0,4,1,1
19,19,26,65,0,0,4,1,1
20,20,20,76,0,0,4,1,1
21,21,20,68,0,0,4,1,1
22,22,21,65,0,0,4,1,1
23,23,20,76,0,0,4,1,1
24,24,22,61,0,0,4,1,1
25,25,25,63,0,0,4,1,1
26,26,27,70,0,0,4,1,1
27,27,20,74,0,0,4,1,1
28,28,25,72,0,0,4,1,1
29,29,28,70,0,0,4,1,1
30,30,21,66,0,0,4,1,1
31,31,25,77,0,0,4,1,1
32,32,26,75,0,0,4,1,1
33,33,29,71,0,0,4,1,1
34,34,26,62,1,0,4,1,1
35,35,27,61,0,0,4,1,1
36,36,24,65,0,0,4,1,1
37,37,22,74,0,0,4,1,1
38,38,21,69,0,0,4,1,1
39,39,30,60,1,0,4,1,1
40,40,22,71,0,0,4,1,1
41,41,30,76,1,0,4,1,1
42,42,24,62,0,0,4,1,1
43,43,18,74,0,0,4,1,1
44,44,29,76,0,0,4,1,1
45,45,25,78,0,0,4,1,1
46,46,28,60,0,0,4,1,1
47,47,24,78,1,0,4,1,1
48,48,24,68,0,0,4,1,1
49,49,29,76,0,0,4,1,1
50,50,27,64,0,0,4,1,1
51,51,27,75,0,0,4,1,1
52,52,29,72,0,0,4,1,1
53,53,24,70,0,0,4,1,1
54,54,22,80,1,0,4,1,1
55,55,25,77,1,0,4,1,1
56,56,29,74,1,0,4,1,1
57,57,22,79,0,0,4,1,1
58,58,23,64,0,0,4,1,1
59,59,25,75,0,0,4,1,1
60,60,22,62,0,0,4,1,1
61,61,22,73,0,0,4,1,1
62,62,19,66,0,0,4,1,1
63,63,19,70,0,0,4,1,1
64,64,24,72,0,0,4,1,1
65,65,20,66,0,0,4,1,1
66,66,24,69,0,0,4,1,1
67,67,22,70,0,0,4,1,1
68,68,27,65,0,0,4,1,1
69,69,22,77,0,0,4,1,1
70,70,25,77,0,0,4,1,1
71,71,30,74,0,0,4,1,1
72,72,29,71,0,0,4,1,1
73,73,21,67,0,0,4,1,1
74,74,23,73,1,0,4,1,1
75,75,18,80,0,0,4,1,1
76,76,24,64,0,0,4,1,1
77,77,22,63,0,0,4,1,1
78,78,27,69,0,0,4,1,1
79,79,20,61,1,0,4,1,1
80,80,24,65,0,0,4,1,1
81,81,27,69,1,0,4,1,1
82,82,28,74,0,0,4,1,1
83,83,24,64,0,0,4,1,1
84,84,19,72,0,0,4,1,1
85,85,26,74,0,0,4,1,1
86,86,28,69,0,0,4,1,1
87,87,22,65,0,0,4,1,1
88,88,18,64,0,0,4,1,1
89,89,29,77,0,0,4,1,1
90,90,29,70,0,0,4,1,1
91,91,25,60,0,0,4,1,1
92,92,27,60,0,0,4,1,1
93,93,21,74,0,0,4,1,1
94,94,25,74,0,0,4,1,1
95,95,26,80,0,0,4,1,1
96,96,27,75,0,0,4,1,1
97,97,22,60,0,0,4,1,1
98,98,26,77,0,0,4,1,1
99,99,25,64,0,0,4,1,1
100,100,19,77,0,0,4,1,1
101,101,21,73,1,0,4,1,1
102,102,30,63,0,0,4,1,1
103,103,19,69,0,0,4,1,1
104,104,19,63,0,0,4,1,1
105,105,26,70,0,0,4,1,1
106,106,19,60,0,0,4,1,1
107,107,27,70,1,0,4,1,1
108,108,29,61,0,0,4,1,1
109,109,24,66,0,0,4,1,1
110,110,26,60,0,0,4,1,1
111,111,28,68,0,0,4,1,1
112,112,28,80,0,0,4,1,1
113,113,27,60,0,0,4,1,1
114,114,22,69,0,0,4,1,1
115,115,22,63,0,0,4,1,1
116,116,18,60,0,0,4,1,1
117,117,25,62,0,0,4,1,1
118,118,28,68,0,0,4,1,1
119,119,21,72,0,0,4,1,1
120,120,20,78,0,0,4,1,1
121,121,30,68,0,0,4,1,1
122,122,19,72,0,0,4,1,1
123,123,18,79,0,0,4,1,1
124,124,28,77,0,0,4,1,1
125,125,18,78,1,0,4,1,1
126,126,30,75,0,0,4,1,1
127,127,19,80,0,0,4,1,1
128,128,24,73,0,0,4,1,1
129,129,28,63,0,0,4,1,1
130,130,28,71,0,0,4,1,1
131,131,20,80,0,0,4,1,1
132,132,20,65,0,0,4,1,1
133,133,29,80,0,0,4,1,1
134,134,21,60,0,0,4,1,1
135,135,24,63,1,0,4,1,1
136,136,29,76,0,0,4,1,1
137,137,23,78,1,0,4,1,1
138,138,21,68,1,0,4,1,1
139,139,18,77,0,0,4,1,1
140,140,24,79,0,0,4,1,1
141,141,19,61,0,0,4,1,1
142,142,22,68,0,0,4,1,1
143,143,25,68,0,0,4,1,1
144,144,19,69,0,0,4,1,1
145,145,22,67,0,0,4,1,1
146,146,19,71,0,0,4,1,1
147,147,26,66,0,0,4,1,1
148,148,21,65,0,0,4,1,1
149,149,26,72,0,0,4,1,1
150,150,28,74,0,0,4,1,1
151,151,27,64,0,0,4,1,1
152,152,20,76,0,0,4,1,1
153,153,19,67,0,0,4,1,1
154,154,29,76,0,0,4,1,1
155,155,25,80,0,0,4,1,1
156,156,22,76,0,0,4,1,1
157,157,27,76,0,0,4,1,1
158,158,20,74,0,0,4,1,1
159,159,18,69,0,0,4,1,1
160,160,18,67,0,0,4,1,1
161,161,18,73,0,0,4,1,1
162,162,30,77,0,0,4,1,1
163,163,28,77,0,0,4,1,1
164,164,25,62,0,0,4,1,1
165,165,30,72,0,0,4,1,1
166,166,22,68,0,0,4,1,1
167,167,26,76,1,0,4,1,1
168,168,21,69,0,0,4,1,1
169,169,29,61,0,0,4,1,1
170,170,18,72,0,0,4,1,1
171,171,28,77,0,0,4,1,1
172,172,29,79,0,0,4,1,1
173,173,25,64,1,0,4,1,1
174,174,30,65,0,0,4,1,1
175,175,20,70,0,0,4,1,1
176,176,30,70,0,0,4,1,1
177,177,22,77,0,0,4,1,1
178,178,29,71,0,0,4,1,1
179,179,28,75,0,0,4,1,1
180,180,27,75,0,0,4,1,1
181,181,25,62,1,0,4,1,1
182,182,18,79,1,0,4,1,1
183,183,22,64,0,0,4,1,1
184,184,25,62,1,0,4,1,1
185,185,26,73,0,0,4,1,1
186,186,20,70,0,0,4,1,1
187,187,18,71,0,0,4,1,1
188,188,21,72,0,0,4,1,1
189,189,24,70,0,0,4,1,1
190,190,28,69,1,0,4,1,1
191,191,21,70,1,0,4,1,1
192,192,26,70,0,0,4,1,1
193,193,25,71,0,0,4,1,1
194,194,21,79,0,0,4,1,1
195,195,27,61,0,0,4,1,1
196,196,20,65,0,0,4,1,1
197,197,29,62,0,0,4,1,1
198,198,18,75,0,0,4,1,1
199,199,26,66,0,0,4,1,1
200,200,20,60,0,0,4,1,1
201,201,29,69,0,0,4,1,1
202,202,29,61,0,0,4,1,1
203,203,29,73,0,0,4,1,1
204,204,18,69,0,0,4,1,1
205,205,24,67,0,0,4,1,1
206,206,28,78,0,0,4,1,1
207,207,25,69,0,0,4,1,1
208,208,28,65,0,0,4,1,1
209,209,29,61,0,0,4,1,1
210,210,18,70,0,0,4,1,1
211,211,29,65,0,0,4,1,1
212,212,21,72,0,0,4,1,1
213,213,19,62,0,0,4,1,1
214,214,20,69,0,0,4,1,1
215,215,18,66,0,0,4,1,1
216,216,27,76,0,0,4,1,1
217,217,22,62,0,0,4,1,1
218,218,19,69,0,0,4,1,1
219,219,23,69,0,0,4,1,1
220,220,27,62,0,0,4,1,1
221,221,19,69,0,0,4,1,1
